participant,task,subtask,trial,choice,reward,condition,trial_within_subtask,function
1,17,0,4,5,9.69043543,noncompositional,4.0,posodd
1,18,0,0,0,6.7263611,noncompositional,0.0,negodd
1,18,0,1,0,6.78375591,noncompositional,1.0,negodd
1,18,0,2,0,6.61869534,noncompositional,2.0,negodd
1,18,0,3,0,6.73173436,noncompositional,3.0,negodd
1,18,0,4,0,6.62481132,noncompositional,4.0,negodd
1,19,0,0,5,3.93866726,noncompositional,0.0,poseven
1,19,0,1,0,6.78689392,noncompositional,1.0,poseven
1,19,0,2,0,6.6032787,noncompositional,2.0,poseven
1,19,0,3,5,3.93897833,noncompositional,3.0,poseven
1,19,0,4,5,3.81152174,noncompositional,4.0,poseven
2,0,0,0,0,5.50635506,noncompositional,0.0,negeven
2,0,0,1,3,0.22769822,noncompositional,1.0,negeven
2,0,0,2,5,1.30003363,noncompositional,2.0,negeven
2,0,0,3,2,4.08881475,noncompositional,3.0,negeven
2,0,0,4,5,1.22408875,noncompositional,4.0,negeven
2,1,0,0,0,2.02841446,noncompositional,0.0,poseven
2,1,0,1,3,5.07500231,noncompositional,1.0,poseven
2,1,0,2,2,3.66996393,noncompositional,2.0,poseven
2,1,0,3,3,5.25048011,noncompositional,3.0,poseven
2,1,0,4,2,3.71649882,noncompositional,4.0,poseven
2,2,0,0,3,7.60310145,noncompositional,0.0,negodd
2,2,0,1,0,9.85192819,noncompositional,1.0,negodd
2,2,0,2,0,9.7534796,noncompositional,2.0,negodd
2,2,0,3,3,7.54535328,noncompositional,3.0,negodd
2,2,0,4,0,9.71745801,noncompositional,4.0,negodd
2,3,0,0,2,4.55038605,noncompositional,0.0,posodd
2,3,0,1,0,4.25650689,noncompositional,1.0,posodd
2,3,0,2,1,4.11913391,noncompositional,2.0,posodd
2,3,0,3,4,3.64540673,noncompositional,3.0,posodd
2,3,0,4,5,10.01280398,noncompositional,4.0,posodd
2,4,0,0,5,1.11065276,noncompositional,0.0,negeven
2,4,0,1,3,1.09373003,noncompositional,1.0,negeven
2,4,0,2,2,4.9252762,noncompositional,2.0,negeven
2,4,0,3,0,5.70896814,noncompositional,3.0,negeven
2,4,0,4,0,5.60626518,noncompositional,4.0,negeven
2,5,0,0,3,0.50823627,noncompositional,0.0,poseven
2,5,0,1,5,0.78424104,noncompositional,1.0,poseven
2,5,0,2,2,4.72562486,noncompositional,2.0,poseven
2,5,0,3,0,2.44423855,noncompositional,3.0,poseven
2,5,0,4,2,4.75418001,noncompositional,4.0,poseven
2,6,0,0,4,4.48942522,noncompositional,0.0,posodd
2,6,0,1,1,5.92420062,noncompositional,1.0,posodd
2,6,0,2,0,6.19740478,noncompositional,2.0,posodd
2,6,0,3,5,10.73324964,noncompositional,3.0,posodd
2,6,0,4,5,10.66333911,noncompositional,4.0,posodd
2,7,0,0,2,5.85226671,noncompositional,0.0,negeven
2,7,0,1,5,0.17502553,noncompositional,1.0,negeven
2,7,0,2,0,8.61153945,noncompositional,2.0,negeven
2,7,0,3,1,7.71257199,noncompositional,3.0,negeven
2,7,0,4,0,8.45306746,noncompositional,4.0,negeven
2,8,0,0,0,4.8938245,noncompositional,0.0,poseven
2,8,0,1,2,7.65626342,noncompositional,1.0,poseven
2,8,0,2,3,2.00946804,noncompositional,2.0,poseven
2,8,0,3,1,7.19460716,noncompositional,3.0,poseven
2,8,0,4,2,7.65909271,noncompositional,4.0,poseven
2,9,0,0,5,0.05386451,noncompositional,0.0,negeven
2,9,0,1,3,0.09098311,noncompositional,1.0,negeven
2,9,0,2,2,5.26921812,noncompositional,2.0,negeven
2,9,0,3,1,7.07883747,noncompositional,3.0,negeven
2,9,0,4,0,6.84825768,noncompositional,4.0,negeven
2,10,0,0,2,5.98839592,noncompositional,0.0,negodd
2,10,0,1,1,7.29300436,noncompositional,1.0,negodd
2,10,0,2,0,8.64720911,noncompositional,2.0,negodd
2,10,0,3,0,8.61192353,noncompositional,3.0,negodd
2,10,0,4,0,8.80861636,noncompositional,4.0,negodd
2,11,0,0,3,7.46819586,noncompositional,0.0,negodd
2,11,0,1,4,1.66470661,noncompositional,1.0,negodd
2,11,0,2,2,7.46703557,noncompositional,2.0,negodd
