,participant,phase,trial,context,left_option,middle_option,right_option,choice,correct,reward,reward_unchosen_1,reward_unchosen_2,RT,ID,condition,?,task,tier
67,0.0,1.0,55.0,2.0,,3.0,4.0,1.0,1.0,87.0,21.0,,1294.0,4011589439.0,1.0,2.0,0,0.0
68,0.0,1.0,56.0,3.0,7.0,6.0,5.0,2.0,1.0,47.0,33.0,11.0,924.0,4011589439.0,1.0,2.0,0,0.0
69,0.0,1.0,57.0,1.0,0.0,1.0,2.0,0.0,1.0,85.0,47.0,17.0,1529.0,4011589439.0,1.0,2.0,0,0.0
70,0.0,1.0,58.0,1.0,1.0,0.0,2.0,1.0,1.0,84.0,55.0,17.0,1139.0,4011589439.0,1.0,2.0,0,0.0
71,0.0,1.0,59.0,4.0,9.0,8.0,,1.0,1.0,50.0,17.0,,1726.0,4011589439.0,1.0,2.0,0,0.0
72,0.0,1.0,60.0,2.0,3.0,4.0,,0.0,1.0,90.0,17.0,,1157.0,4011589439.0,1.0,2.0,0,0.0
73,0.0,1.0,61.0,2.0,,3.0,4.0,1.0,1.0,90.0,20.0,,3348.0,4011589439.0,1.0,2.0,0,0.0
74,0.0,1.0,62.0,1.0,2.0,1.0,0.0,2.0,1.0,82.0,44.0,16.0,3600.0,4011589439.0,1.0,2.0,0,0.0
75,0.0,1.0,63.0,3.0,6.0,7.0,5.0,2.0,1.0,51.0,28.0,16.0,1271.0,4011589439.0,1.0,2.0,0,0.0
76,0.0,1.0,64.0,2.0,4.0,,3.0,2.0,1.0,94.0,17.0,,1023.0,4011589439.0,1.0,2.0,0,0.0
77,0.0,1.0,65.0,1.0,1.0,2.0,0.0,2.0,1.0,84.0,43.0,18.0,1275.0,4011589439.0,1.0,2.0,0,0.0
78,0.0,1.0,66.0,2.0,3.0,,4.0,0.0,1.0,83.0,20.0,,1326.0,4011589439.0,1.0,2.0,0,0.0
79,0.0,1.0,67.0,3.0,5.0,7.0,6.0,0.0,1.0,53.0,38.0,22.0,2398.0,4011589439.0,1.0,2.0,0,0.0
80,0.0,1.0,68.0,3.0,6.0,5.0,7.0,1.0,1.0,55.0,25.0,15.0,1142.0,4011589439.0,1.0,2.0,0,0.0
81,0.0,1.0,69.0,3.0,7.0,6.0,5.0,2.0,1.0,48.0,36.0,12.0,1774.0,4011589439.0,1.0,2.0,0,0.0
82,0.0,1.0,70.0,2.0,,3.0,4.0,1.0,1.0,82.0,11.0,,1343.0,4011589439.0,1.0,2.0,0,0.0
83,0.0,1.0,71.0,3.0,5.0,7.0,6.0,0.0,1.0,42.0,35.0,17.0,2997.0,4011589439.0,1.0,2.0,0,0.0
84,0.0,1.0,72.0,3.0,6.0,7.0,5.0,2.0,1.0,50.0,30.0,14.0,5576.0,4011589439.0,1.0,2.0,0,0.0
85,0.0,1.0,73.0,3.0,6.0,7.0,5.0,2.0,1.0,50.0,34.0,15.0,3754.0,4011589439.0,1.0,2.0,0,0.0
86,0.0,1.0,74.0,3.0,7.0,6.0,5.0,2.0,1.0,48.0,32.0,18.0,597.0,4011589439.0,1.0,2.0,0,0.0
87,0.0,1.0,75.0,2.0,3.0,,4.0,0.0,1.0,90.0,8.0,,839.0,4011589439.0,1.0,2.0,0,0.0
88,0.0,1.0,76.0,1.0,1.0,0.0,2.0,1.0,1.0,88.0,54.0,16.0,809.0,4011589439.0,1.0,2.0,0,0.0
89,0.0,1.0,77.0,2.0,4.0,,3.0,2.0,1.0,84.0,14.0,,4218.0,4011589439.0,1.0,2.0,0,0.0
90,0.0,1.0,78.0,2.0,,4.0,3.0,2.0,1.0,83.0,11.0,,923.0,4011589439.0,1.0,2.0,0,0.0
91,0.0,1.0,79.0,4.0,,9.0,8.0,2.0,1.0,51.0,20.0,,4004.0,4011589439.0,1.0,2.0,0,0.0
92,0.0,1.0,80.0,1.0,2.0,0.0,1.0,1.0,1.0,87.0,54.0,18.0,8399.0,4011589439.0,1.0,2.0,0,0.0
93,0.0,1.0,81.0,4.0,9.0,,8.0,2.0,1.0,51.0,17.0,,2707.0,4011589439.0,1.0,2.0,0,0.0
94,0.0,1.0,82.0,4.0,9.0,8.0,,1.0,1.0,55.0,11.0,,1090.0,4011589439.0,1.0,2.0,0,0.0
95,0.0,1.0,83.0,2.0,3.0,,4.0,0.0,1.0,87.0,16.0,,1436.0,4011589439.0,1.0,2.0,0,0.0
96,0.0,1.0,84.0,1.0,2.0,1.0,0.0,2.0,1.0,94.0,51.0,15.0,1633.0,4011589439.0,1.0,2.0,0,0.0
97,0.0,1.0,85.0,1.0,1.0,0.0,2.0,1.0,1.0,85.0,54.0,3.0,583.0,4011589439.0,1.0,2.0,0,0.0
98,0.0,1.0,86.0,4.0,,8.0,9.0,1.0,1.0,56.0,17.0,,914.0,4011589439.0,1.0,2.0,0,0.0
99,0.0,1.0,87.0,1.0,2.0,0.0,1.0,1.0,1.0,89.0,52.0,13.0,1866.0,4011589439.0,1.0,2.0,0,0.0
100,0.0,1.0,88.0,2.0,4.0,3.0,,1.0,1.0,86.0,17.0,,816.0,4011589439.0,1.0,2.0,0,0.0
101,0.0,1.0,89.0,2.0,,4.0,3.0,2.0,1.0,83.0,16.0,,1915.0,4011589439.0,1.0,2.0,0,0.0
102,0.0,1.0,90.0,3.0,7.0,6.0,5.0,2.0,1.0,57.0,35.0,16.0,984.0,4011589439.0,1.0,2.0,0,0.0
103,0.0,1.0,91.0,3.0,7.0,5.0,6.0,1.0,1.0,47.0,29.0,13.0,5286.0,4011589439.0,1.0,2.0,0,0.0
104,0.0,1.0,92.0,4.0,9.0,,8.0,2.0,1.0,48.0,19.0,,1397.0,4011589439.0,1.0,2.0,0,0.0
105,0.0,1.0,93.0,4.0,,8.0,9.0,1.0,1.0,53.0,10.0,,2321.0,4011589439.0,1.0,2.0,0,0.0
106,0.0,1.0,94.0,3.0,6.0,7.0,5.0,2.0,1.0,46.0,37.0,13.0,1083.0,4011589439.0,1.0,2.0,0,0.0
107,0.0,1.0,95.0,3.0,7.0,6.0,5.0,2.0,1.0,52.0,35.0,16.0,4685.0,4011589439.0,1.0,2.0,0,0.0
108,0.0,1.0,96.0,4.0,9.0,,8.0,2.0,1.0,52.0,4.0,,637.0,4011589439.0,1.0,2.0,0,0.0
109,0.0,1.0,97.0,2.0,4.0,,3.0,2.0,1.0,83.0,16.0,,1138.0,4011589439.0,1.0,2.0,0,0.0
110,0.0,1.0,98.0,4.0,,8.0,9.0,1.0,1.0,43.0,14.0,,1229.0,4011589439.0,1.0,2.0,0,0.0
111,0.0,1.0,99.0,3.0,7.0,5.0,6.0,1.0,1.0,50.0,28.0,15.0,1028.0,4011589439.0,1.0,2.0,0,0.0
112,0.0,1.0,100.0,3.0,5.0,7.0,6.0,0.0,1.0,52.0,33.0,13.0,2338.0,4011589439.0,1.0,2.0,0,0.0
113,0.0,1.0,101.0,2.0,,4.0,3.0,2.0,1.0,88.0,14.0,,1261.0,4011589439.0,1.0,2.0,0,0.0
114,0.0,1.0,102.0,3.0,5.0,6.0,7.0,0.0,1.0,50.0,28.0,11.0,5732.0,4011589439.0,1.0,2.0,0,0.0
115,0.0,1.0,103.0,2.0,3.0,,4.0,0.0,1.0,90.0,22.0,,1769.0,4011589439.0,1.0,2.0,0,0.0
116,0.0,1.0,104.0,4.0,,8.0,9.0,1.0,1.0,49.0,14.0,,883.0,4011589439.0,1.0,2.0,0,0.0
117,0.0,1.0,105.0,3.0,5.0,6.0,7.0,0.0,1.0,47.0,28.0,21.0,1300.0,4011589439.0,1.0,2.0,0,0.0
118,0.0,1.0,106.0,4.0,9.0,,8.0,2.0,1.0,52.0,17.0,,5370.0,4011589439.0,1.0,2.0,0,0.0
119,0.0,1.0,107.0,4.0,,9.0,8.0,2.0,1.0,45.0,18.0,,913.0,4011589439.0,1.0,2.0,0,0.0
120,0.0,1.0,108.0,4.0,,8.0,9.0,1.0,1.0,56.0,13.0,,5469.0,4011589439.0,1.0,2.0,0,0.0
121,0.0,1.0,109.0,1.0,2.0,1.0,0.0,2.0,1.0,76.0,51.0,15.0,1494.0,4011589439.0,1.0,2.0,0,0.0
122,0.0,1.0,110.0,2.0,4.0,,3.0,2.0,1.0,85.0,14.0,,838.0,4011589439.0,1.0,2.0,0,0.0
123,0.0,1.0,111.0,1.0,2.0,1.0,0.0,2.0,1.0,82.0,53.0,13.0,1167.0,4011589439.0,1.0,2.0,0,0.0
124,0.0,1.0,112.0,1.0,2.0,1.0,0.0,2.0,1.0,81.0,42.0,9.0,1889.0,4011589439.0,1.0,2.0,0,0.0
125,0.0,1.0,113.0,2.0,,3.0,4.0,1.0,1.0,83.0,13.0,,11548.0,4011589439.0,1.0,2.0,0,0.0
126,0.0,1.0,114.0,1.0,1.0,2.0,0.0,2.0,1.0,94.0,47.0,15.0,732.0,4011589439.0,1.0,2.0,0,0.0
127,0.0,1.0,115.0,1.0,2.0,0.0,1.0,1.0,1.0,81.0,58.0,23.0,3930.0,4011589439.0,1.0,2.0,0,0.0
128,0.0,1.0,116.0,4.0,8.0,,9.0,0.0,1.0,57.0,19.0,,1258.0,4011589439.0,1.0,2.0,0,0.0
129,0.0,1.0,117.0,4.0,8.0,,9.0,0.0,1.0,46.0,14.0,,2419.0,4011589439.0,1.0,2.0,0,0.0
130,0.0,1.0,118.0,4.0,9.0,,8.0,2.0,1.0,50.0,10.0,,4373.0,4011589439.0,1.0,2.0,0,0.0
131,0.0,1.0,119.0,3.0,6.0,7.0,5.0,2.0,1.0,55.0,34.0,17.0,1435.0,4011589439.0,1.0,2.0,0,0.0
132,0.0,1.0,120.0,4.0,,9.0,8.0,2.0,1.0,45.0,10.0,,907.0,4011589439.0,1.0,2.0,0,0.0
133,0.0,1.0,121.0,1.0,0.0,2.0,1.0,0.0,1.0,84.0,60.0,12.0,991.0,4011589439.0,1.0,2.0,0,0.0
134,0.0,1.0,122.0,2.0,3.0,,4.0,0.0,1.0,89.0,16.0,,850.0,4011589439.0,1.0,2.0,0,0.0
135,0.0,1.0,123.0,2.0,3.0,,4.0,0.0,1.0,81.0,12.0,,10004.0,4011589439.0,1.0,2.0,0,0.0
136,0.0,1.0,124.0,2.0,,3.0,4.0,1.0,1.0,88.0,16.0,,5451.0,4011589439.0,1.0,2.0,0,0.0
137,0.0,1.0,125.0,1.0,2.0,0.0,1.0,1.0,1.0,89.0,51.0,10.0,806.0,4011589439.0,1.0,2.0,0,0.0
138,0.0,1.0,126.0,1.0,1.0,0.0,2.0,1.0,1.0,93.0,46.0,14.0,15981.0,4011589439.0,1.0,2.0,0,0.0
139,0.0,1.0,127.0,2.0,4.0,,3.0,2.0,1.0,83.0,15.0,,6833.0,4011589439.0,1.0,2.0,0,0.0
140,0.0,1.0,128.0,1.0,0.0,2.0,1.0,0.0,1.0,87.0,47.0,14.0,7429.0,4011589439.0,1.0,2.0,0,0.0
141,0.0,1.0,129.0,2.0,,3.0,4.0,1.0,1.0,88.0,12.0,,1457.0,4011589439.0,1.0,2.0,0,0.0
142,0.0,1.0,130.0,4.0,9.0,8.0,,1.0,1.0,48.0,10.0,,856.0,4011589439.0,1.0,2.0,0,0.0
143,0.0,1.0,131.0,4.0,8.0,,9.0,0.0,1.0,51.0,13.0,,1233.0,4011589439.0,1.0,2.0,0,0.0
144,0.0,1.0,132.0,1.0,2.0,0.0,1.0,1.0,1.0,79.0,46.0,10.0,1154.0,4011589439.0,1.0,2.0,0,0.0
145,0.0,1.0,133.0,1.0,2.0,1.0,0.0,2.0,1.0,83.0,50.0,16.0,670.0,4011589439.0,1.0,2.0,0,0.0
